Name                                                           Stmts   Miss  Cover
----------------------------------------------------------------------------------
lasy/__init__.py                                                   1      0   100%
lasy/laser.py                                                    128     10    92%
lasy/optical_elements/__init__.py                                  9      0   100%
lasy/optical_elements/axicon.py                                    8      0   100%
lasy/optical_elements/axiparabola.py                              14      0   100%
lasy/optical_elements/intensity_mask.py                           13      9    31%
lasy/optical_elements/optical_element.py                           8      2    75%
lasy/optical_elements/parabolic_mirror.py                          8      0   100%
lasy/optical_elements/polynomial_spectral_phase.py                12      0   100%
lasy/optical_elements/spectral_filter.py                          12      7    42%
lasy/optical_elements/spectral_phase.py                           12      7    42%
lasy/optical_elements/zernike_aberrations.py                      14      8    43%
lasy/profiles/__init__.py                                          8      0   100%
lasy/profiles/combined_profile.py                                 20      0   100%
lasy/profiles/from_array_profile.py                               37     18    51%
lasy/profiles/from_insight_file.py                                30     24    20%
lasy/profiles/from_openpmd_profile.py                             57     49    14%
lasy/profiles/gaussian_profile.py                                 27      0   100%
lasy/profiles/longitudinal/__init__.py                             7      0   100%
lasy/profiles/longitudinal/continuous_wave_profile.py              8      0   100%
lasy/profiles/longitudinal/cosine_profile.py                      12      0   100%
lasy/profiles/longitudinal/gaussian_profile.py                    11      0   100%
lasy/profiles/longitudinal/longitudinal_profile.py                11      1    91%
lasy/profiles/longitudinal/longitudinal_profile_from_data.py      58      9    84%
lasy/profiles/longitudinal/super_gaussian_profile.py              12      0   100%
lasy/profiles/profile.py                                          48      1    98%
lasy/profiles/speckle_profile.py                                 102      4    96%
lasy/profiles/transverse/__init__.py                              10      0   100%
lasy/profiles/transverse/flattened_gaussian_profile.py            48      0   100%
lasy/profiles/transverse/gaussian_profile.py                      15      0   100%
lasy/profiles/transverse/hermite_gaussian_profile.py              49      0   100%
lasy/profiles/transverse/jinc_profile.py                          12      0   100%
lasy/profiles/transverse/laguerre_gaussian_profile.py             35      0   100%
lasy/profiles/transverse/plane_wave_profile.py                     8      0   100%
lasy/profiles/transverse/super_gaussian_profile.py                10      0   100%
lasy/profiles/transverse/transverse_profile.py                    38      4    89%
lasy/profiles/transverse/transverse_profile_from_data.py          25      2    92%
lasy/utils/__init__.py                                             0      0   100%
lasy/utils/denoise.py                                             12      0   100%
lasy/utils/exp_data_utils.py                                      18      0   100%
lasy/utils/grid.py                                                99      9    91%
lasy/utils/laser_utils.py                                        406    154    62%
lasy/utils/mode_decomposition.py                                  49      1    98%
lasy/utils/openpmd_helper.py                                     128     82    36%
lasy/utils/phase_retrieval.py                                     35      5    86%
lasy/utils/plotting.py                                            51     45    12%
lasy/utils/zernike.py                                             44     15    66%
tests/conftest.py                                                  0      0   100%
tests/test_STC.py                                                 39      0   100%
tests/test_axicon.py                                              56      2    96%
tests/test_axiparabola.py                                         35      0   100%
tests/test_denoise.py                                             18      0   100%
tests/test_gaussian_propagator.py                                 61      2    97%
tests/test_gsalgo.py                                              41      0   100%
tests/test_laser_profiles.py                                     413      0   100%
tests/test_laser_utils.py                                         66      2    97%
tests/test_parabolic_mirror.py                                    48      2    96%
tests/test_polynomial_spectral_phase.py                           68      0   100%
tests/test_resampling.py                                          64      2    97%
tests/test_special_laser.py                                       44      0   100%
tests/test_speckles.py                                           141      0   100%
tests/test_t2z2t.py                                               72      0   100%
----------------------------------------------------------------------------------
TOTAL                                                           2945    476    84%
